Town/City,Clerk,Address,Phone,Fax,E-Mail,Town Website Address,State Election Start Time - End Time,Local Election Start Time - End Time,Polling Place,Election Date-Name
RINDGE,SHANA EICHNER,30 PAYSON HILL ROAD RINDGE 03461,603-899-5181,Not Applicable,TOWNCLERK@RINDGENH.GOV,WWW.RINDGENH.GOV,,,,
ROCHESTER WARD 01,KELLY ANNE WALTERS,150 WAKEFIELD ST STE 10 ROCHESTER 03867,603-332-2130,603-509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,W-1 SALMON FALLS SCHOOL 753 SALMON FALLS RD EAST ROCHESTER 03868,11/03/2026-STATE GENERAL ELECTION
ROCHESTER WARD 02,KELLY ANNE WALTERS,150 WAKEFIELD ST STE 10 ROCHESTER 03867,603-332-2130,603-509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,W-2 CHAMBERLAIN STREET SCHOOL 65 CHAMBERLAIN ST ROCHESTER 03867,11/03/2026-STATE GENERAL ELECTION
ROCHESTER WARD 03,KELLY ANNE WALTERS,150 WAKEFIELD ST STE 10 ROCHESTER 03867,603-332-2130,603-509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,W-3 GONIC ELEMENTARY SCHOOL 10 RAILROAD AVE ROCHESTER 03839,11/03/2026-STATE GENERAL ELECTION
ROCHESTER WARD 04,KELLY ANNE WALTERS,150 WAKEFIELD ST STE 10 ROCHESTER 03867,603-332-2130,603-509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,W-4 MCCLELLAND ELEMENTARY SCHOOL 59 BROCK ST ROCHESTER 03867,11/03/2026-STATE GENERAL ELECTION
ROCHESTER WARD 05,KELLY ANNE WALTERS,150 WAKEFIELD ST STE 10 ROCHESTER 03867,603-332-2130,603-509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,W-5 JAMES W FOLEY MEMORIAL COMMUNITY CENTER - ENTRANCE B 150 WAKEFIELD ST ROCHESTER 03867,11/03/2026-STATE GENERAL ELECTION
ROCHESTER WARD 06,KELLY ANNE WALTERS,150 WAKEFIELD ST STE 10 ROCHESTER 03867,603-332-2130,603-509-1915,CITYCLERK@ROCHESTERNH.GOV,WWW.ROCHESTERNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,W-6 ELKS LODGE 1393 295 COLUMBUS AVE ROCHESTER 03867,11/03/2026-STATE GENERAL ELECTION
ROLLINSFORD,NANCY MCCAULEY,PO BOX 309 ROLLINSFORD 03869,603-742-2510,603-740-0254,CLERK@ROLLINSFORD.NH.US,WWW.ROLLINSFORD.NH.US,,,,
ROXBURY,ROBIN LEIGH BUFFUM,562 MIDDLETOWN ROAD ROXBURY 03431,603-499-3041,Not Applicable,ROXBURYTOWNCLERK@YAHOO.COM,WWW.ROXBURYNH.ORG,11:00 AM - 7:00 PM,6:00 PM - 8:30 PM,ROXBURY TOWN HALL 3 MIDDLETOWN RD ROXBURY 03431,11/03/2026-STATE GENERAL ELECTION
RUMNEY,DAWN J COFFEY,PO BOX 275 RUMNEY 03266,603-786-2237,603-786-2237,TOWNCLERK@RUMNEYNH.ORG,WWW.RUMNEYNH.ORG,,,,
RYE,AMY E THIBODEAU,500 WASHINGTON RD RYE 03870,603-964-8562,603-964-1587,ATHIBODEAU@TOWN.RYE.NH.US,WWW.TOWN.RYE.NH.US,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,RYE ELEMENTARY SCHOOL 461 SAGAMORE RD RYE 03870,11/03/2026-STATE GENERAL ELECTION
SALEM WARD 01,NICOLE L MORSE,33 GEREMONTY DR SALEM 03079,603-890-2116,603-685-6402,NMORSE@SALEMNH.GOV,SALEMNH.GOV,,,,
SALEM WARD 02,NICOLE L MORSE,33 GEREMONTY DR SALEM 03079,603-890-2116,603-685-6402,NMORSE@SALEMNH.GOV,SALEMNH.GOV,,,,
SALEM WARD 03,NICOLE L MORSE,33 GEREMONTY DR SALEM 03079,603-890-2116,603-685-6402,NMORSE@SALEMNH.GOV,SALEMNH.GOV,,,,
SALEM WARD 04,NICOLE L MORSE,33 GEREMONTY DR SALEM 03079,603-890-2116,603-685-6402,NMORSE@SALEMNH.GOV,SALEMNH.GOV,,,,
SALISBURY,BEVERLEY TILLEY,PO BOX 2 SALISBURY 03268,603-648-6322,603-648-6658,TCLERKSALISBURY@GMAIL.COM,WWW.SALISBURYNH.ORG,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,SALISBURY TOWN HALL 645 OLD TURNPIKE RD SALISBURY 03268,11/03/2026-STATE GENERAL ELECTION
SANBORNTON,JULIANA ALANE LONERGAN,PO BOX 124 SANBORNTON 03269,603-286-4034,603-286-9544,TCTC@SANBORNTONNH.ORG,WWW.SANBORNTONNH.ORG,07:00AM - 07:00PM,07:00AM - 07:00PM,OLD TOWN HALL 19 MEETING HOUSE HILL RD SANBORNTON 03269,11/03/2026-STATE GENERAL ELECTION
SANDOWN,TANYA GAYNOR,PO BOX 583 SANDOWN 03873,603-887-4870,603-887-5163,TGAYNOR@SANDOWN.US,WWW.SANDOWN.US,,,,
SANDWICH,ALISON JULIA GAGE,PO BOX 194 SANDWICH 03227,603-284-7113,603-284-6819,TCTC@SANDWICHNH.ORG,SANDWICHNH.ORG,8:00 AM - 7:00 PM,10:00 AM - 7:00 PM,SANDWICH TOWN HALL 8 MAPLE ST SANDWICH 03227,11/03/2026-STATE GENERAL ELECTION
SARGENT'S PURCHASE,CHRISTINA ZORNIO,20 PARK STREET SARGENT'S PURCHASE 03581,603-466-2744,603-466-2744,CZORNIO@GORHAMNH.ORG,WWW.GORHAMNH.ORG,,,,
SEABROOK,SHAYNA D MERRILL,99 LAFAYETTE RD SEABROOK 03874,603-474-3152,Not Applicable,SMERRILL@SEABROOKNH.ORG,WWW.SEABROOKNH.INFO,,,,
SECOND COLLEGE GRANT,DONNA M DEMERS,PO BOX 100 SECOND COLLEGE GRANT 03579,603-482-3351,603-482-3804,ERROLTOWNCLERK@GMAIL.COM,Not Applicable,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,ERROL TOWN HALL 33 MAIN STREET ERROL - FOR POLLING PLACE ONLY SECOND COLLEGE GRANT 03579,11/03/2026-STATE GENERAL ELECTION
SHARON,DIANNE E MITCHELL,432 NH RTE 123 SHARON 03458,603-924-9250,Not Applicable,TOWNCLERK@SHARONNH.GOV,WWW.SHARONNH.GOV,,,,
SHELBURNE,LEONA KEALTY,74 VILLAGE ROAD SHELBURNE 03581,603-466-2262,603-466-5271,TCTX@TOWNOFSHELBURNENH.GOV,WWW.TOWNOFSHELBURNENH.GOV,,,,
SOMERSWORTH WARD 01,KRISTEN LAPANNE,1 GOVERNMENT WAY SOMERSWORTH 03878,603-692-9511,603-692-9574,KLAPANNE@SOMERSWORTHNH.GOV,WWW.SOMERSWORTHNH.GOV,7:00 A.M. - 7:00 P.M.,7:00 A.M. - 7:00 PM,CITY HALL 1 GOVERNMENT WAY SOMERSWORTH 03878,11/03/2026-STATE GENERAL ELECTION
SOMERSWORTH WARD 02,KRISTEN LAPANNE,1 GOVERNMENT WAY SOMERSWORTH 03878,603-692-9511,603-692-9574,KLAPANNE@SOMERSWORTHNH.GOV,WWW.SOMERSWORTHNH.GOV,7:00 A.M. - 7:00 P.M.,7:00 A.M. - 7:00 PM,SUMMERSWORTH HISTORICAL MUSEUM 157 MAIN ST SOMERSWORTH 03878,11/03/2026-STATE GENERAL ELECTION
SOMERSWORTH WARD 03,KRISTEN LAPANNE,1 GOVERNMENT WAY SOMERSWORTH 03878,603-692-9511,603-692-9574,KLAPANNE@SOMERSWORTHNH.GOV,WWW.SOMERSWORTHNH.GOV,7:00 A.M. - 7:00 P.M.,7:00 A.M. - 7:00 PM,SOMERSWORTH HIGH SCHOOL 11 MEMORIAL DR SOMERSWORTH 03878,11/03/2026-STATE GENERAL ELECTION
SOMERSWORTH WARD 04,KRISTEN LAPANNE,1 GOVERNMENT WAY SOMERSWORTH 03878,603-692-9511,603-692-9574,KLAPANNE@SOMERSWORTHNH.GOV,WWW.SOMERSWORTHNH.GOV,7:00 A.M. - 7:00 P.M.,7:00 A.M. - 7:00 PM,IDLEHURST ELEMENTARY SCHOOL 46 STACKPOLE RD SOMERSWORTH 03878,11/03/2026-STATE GENERAL ELECTION
SOMERSWORTH WARD 05,KRISTEN LAPANNE,1 GOVERNMENT WAY SOMERSWORTH 03878,603-692-9511,603-692-9574,KLAPANNE@SOMERSWORTHNH.GOV,WWW.SOMERSWORTHNH.GOV,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,CHARPENTIER APARTMENTS - COMMUNITY ROOM 28 FRANKLIN ST SOMERSWORTH 03878,11/03/2026-STATE GENERAL ELECTION
SOUTH HAMPTON,ANDREA CONDON,3 HILLDALE AVE SOUTH HAMPTON 03827,603-394-7696,603-394-2134,TCTX@SOUTHHAMPTONNH.ORG,SOUTHHAMPTONNH.ORG,11:00 AM - 08:00 PM,11:00 AM - 08:00 PM,SOUTH HAMPTON TOWN HALL 3 HILLDALE AVE SOUTH HAMPTON 03827,11/03/2026-STATE GENERAL ELECTION
SPRINGFIELD,ANNIKA M MUNHOLAND,PO BOX 22 SPRINGFIELD 03284,603-763-4805,Not Applicable,TOWNCLERK@SPRINGFIELDNH.ORG,WWW.SPRINGFIELDNH.ORG,,,,
STARK,PATRICIA STYLES PEEL,1189 STARK HIGHWAY STARK 03582,603-636-2118,603-636-6199,PATTY@TOWNOFSTARK.COM,STARKNH.GOV,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,STARK VOLUNTEER FIRE DEPARTMENT 1276 STARK HWY STARK 03582,11/03/2026-STATE GENERAL ELECTION
STEWARTSTOWN,RITA M HIBBARD,888 WASHINGTON ST STEWARTSTOWN 03597,603-246-3329,603-246-3329,TOWNOFSTEWARTSTOWN@GMAIL.COM,Not Applicable,11:00 AM - 7:00 PM,10:00 AM - 6:00 PM,STEWARTSTOWN TOWN OFFICE 888 WASHINGTON ST STEWARTSTOWN 03597,11/03/2026-STATE GENERAL ELECTION
STODDARD,MCNEAL F NANCY,1450 ROUTE 123 N STODDARD 03464,603-446-3326,603-446-2278,CLERKTAX@STODDARDNH.ORG,WWW.STODDARDNH.ORG,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,JAMES FAULKNER ELEMENTARY SCHOOL 200 SCHOOL ST STODDARD 03464,11/03/2026-STATE GENERAL ELECTION
STRAFFORD,TERRI LYN MARSH,PO BOX 169 STRAFFORD 03884,603-664-2192,603-664-7276,TOWNCLERK@STRAFFORD.NH.GOV,WWW.STRAFFORD.NH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,STRAFFORD TOWN HALL 12 MOUNTAIN VIEW DR STRAFFORD 03884,11/03/2026-STATE GENERAL ELECTION
STRATFORD,MARYANN F LISTER,PO BOX 366 STRATFORD 03590,603-922-5546,603-922-3317,TCTX@STRATFORDNH.GOV,WWW.STRATFORDNH.GOV,,,,
STRATHAM,DEBORAH L BAKIE,10 BUNKER HILL AVE STRATHAM 03885,603-772-4741,603-775-0517,DBAKIE@STRATHAMNH.GOV,WWW.STRATHAMNH.GOV,7:00AM - 7:00PM,7:00AM - 7:00PM,STRATHAM MEMORIAL SCHOOL 39 GIFFORD FARM RD STRATHAM 03885,11/03/2026-STATE GENERAL ELECTION
SUCCESS,LEONA KEALTY,74 VILLAGE RD SHELBURNE - FOR POLLING LOCATION ONLY SUCCESS 03581,603-466-2262,603-466-5271,TCTX@TOWNOFSHELBURNENH.GOV,HTTPS://WWW.TOWNOFSHELBURNENH.GOV/,,,,
SUGAR HILL,LISSA MACK BOISSONNEAULT,PO BOX 574 SUGAR HILL 03586,603-823-8516,603-823-8446,TOWNCLERK@SUGARHILLNH.ORG,WWW.SUGARHILLNH.ORG,11:00 AM - 7:00 PM,11:00 AM - 07:00 PM,CAROLINA CRAPO BUILDING 1411 ROUTE 117 SUGAR HILL 03586,11/03/2026-STATE GENERAL ELECTION
SULLIVAN,JASON E TAYLOR,PO BOX 110 SULLIVAN 03445,603-847-3316,603-847-9154,TOWNCLERK@TOWNOFSULLIVANNH.COM,TOWNOFSULLIVANNH.COM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,SULLIVAN TOWN HALL 452 CENTRE ST SULLIVAN 03445,11/03/2026-STATE GENERAL ELECTION
SUNAPEE,ALYSSA PARSSINEN,PO BOX 303 SUNAPEE 03782,603-763-2449,Not Applicable,ALYSSA@SUNAPEENH.GOV,WWW.SUNAPEENH.GOV,8:00 AM - 7:00 PM,8:00AM - 7:00 PM,SHERBURNE GYMNASIUM 555 ROUTE 11 SUNAPEE 03782,11/03/2026-STATE GENERAL ELECTION
SURRY,CHRISTINA MARIE HAMMOND,235 Route 12A SURRY 03431,603-352-3075,603-357-4890,depclerk@surry.nh.gov,SURRY.NH.GOV,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,SURRY TOWN HALL 1 VILLAGE RD SURRY 03431,11/03/2026-STATE GENERAL ELECTION
SUTTON,BETH-HOLLY LADUKE,93 MAIN STREET SUTTON 03221,603-927-2401,603-927-4646,TOWNCLERK@SUTTON-NH.ORG,WWW.SUTTON-NH.ORG,,,,
SWANZEY,HEATHER ESTRELLA,PO BOX 10009 SWANZEY 03446,603-352-7411,603-352-6250,TOWNCLERK@SWANZEYNH.GOV,WWW.SWANZEYNH.GOV,8:00 AM - 7:00 PM,08:00AM - 07:00PM,MONADNOCK REGIONAL HIGH SCHOOL 580 OLD HOMESTEAD HWY SWANZEY 03446,11/03/2026-STATE GENERAL ELECTION
TAMWORTH,KIM TRAMMELL,84 MAIN STREET TAMWORTH 03886,603-323-7971,603-323-2347,TCTX@TAMWORTHNH.GOV,WWW.TAMWORTHNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,K A BRETT SCHOOL 881 TAMWORTH RD TAMWORTH 03886,11/03/2026-STATE GENERAL ELECTION
TEMPLE,STACEY C CLARK,PO BOX 69 TEMPLE 03084,603-878-3873,603-878-5067,TOWNCLERK@TEMPLENH.GOV,TEMPLENH.ORG,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,TEMPLE TOWN HALL 19 MAIN ST TEMPLE 03084,11/03/2026-STATE GENERAL ELECTION
THOMPSON & MESERVE'S PURCHASE,CHRISTINA ZORNIO,20 PARK ST THOMPSON & MESERVE'S PURCHASE 03581,603-466-2744,603-466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,,,,
THORNTON,ANITA C ROSS,16 MERRILL ACCESS RD. THORNTON 03285,603-726-4232,603-726-2078,TOWNCLERK@THORNTONNH.GOV,WWW.TOWNOFTHORNTON.ORG,,,,
TILTON,KIM SOWLES,257 MAIN ST TILTON 03276,603-286-4425,603-286-7817,KSOWLES@TILTONNH.ORG,WWW.TILTONNH.ORG,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,WINNISQUAM HIGH SCHOOL 435 W MAIN ST TILTON 03276,11/03/2026-STATE GENERAL ELECTION
TROY,DEBORAH L WILSON,PO BOX 249 TROY 03465,603-242-3845,603-242-3430,TOWNCLERK@TROY.NH.GOV,WWW.TROY-NH.US,,,,
TUFTONBORO,JENNIFER M COULTER,po box 407 TUFTONBORO 03850,603-569-4539,603-569-4328,TOWNCLERK@TUFTONBORONH.GOV,WWW.TUFTONBORONH.GOV,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,TUFTONBORO CENTRAL SCHOOL 205 MIDDLE RD CENTER TUFTONBORO 03816,11/03/2026-STATE GENERAL ELECTION
UNITY,RAMONA LABRIE,13 CENTER ROAD 1 UNITY 03603,603-542-9665,603-542-9736,TOWNCLERK@TOWNOFUNITYNH.ORG,WWW.TOWNOFUNITYNH.ORG,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,UNITY TOWN HALL 896 2ND NH TPKE UNITY 03603,11/03/2026-STATE GENERAL ELECTION
WAKEFIELD,VALERIE WARD,2 HIGH ST WAKEFIELD 03872,603-522-6205,603-522-6794,TOWNCLERK@WAKEFIELDNH.GOV,WWW.WAKEFIELDNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,WAKEFIELD TOWN HALL OPERA HOUSE 2 HIGH ST WAKEFIELD 03872,11/03/2026-STATE GENERAL ELECTION
WALPOLE WARD 01,MEGHAN H HANSSON,PO BOX 756 WALPOLE 03608,603-756-3514,Not Applicable,MHANSSON@WALPOLENH.US,WWW.WALPOLENH.US,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,WALPOLE TOWN HALL 34 ELM ST WALPOLE 03608,11/03/2026-STATE GENERAL ELECTION
WALPOLE WARD 02,MEGHAN H HANSSON,PO BOX 756 WALPOLE 03608,603-756-3514,Not Applicable,MHANSSON@WALPOLENH.US,WWW.WALPOLENH.US,7:00 AM - 7:00 PM,7 A M - 7 P M,ST PETERS CHURCH 38 CHURCH ST WALPOLE 03609,11/03/2026-STATE GENERAL ELECTION
WARNER,MICHELE L COURSER,PO BOX 265 WARNER 03278,603-456-2298,603-456-2297,TOWNCLERK@WARNERNH.GOV,WWW.WARNERNH.GOV,,,,
WARREN,SUZANNE M FLAGG,PO BOX 40 WARREN 03279,603-764-7705,603-764-9296,WARRENTOWNCLERK@GMAIL.COM,WWW.WARREN-NH.COM,,,,
WASHINGTON,SUELLEN LEISCHNER,7 HALFMOON POND RD WASHINGTON 03280,603-495-3667,603-495-1739,SLEISCHNER@WASHINGTONNH.ORG,WWW.WASHINGTONNH.ORG,,,,
WATERVILLE VALLEY,TERRY A. WAITE,PO BOX 500 WATERVILLE VALLEY 03215,603-236-4730,603-236-2056,CLERK@WATERVILLEVALLEYNH.GOV,WWW.WATERVILLEVALLEYNH.GOV,11:00 AM - 7:00 PM,10:30 AM - 4:30 PM,RECREATION DEPARTMENT 11 NOON PEAK RD WATERVILLE VALLEY 03215,11/03/2026-STATE GENERAL ELECTION
WEARE,PAMELA J MOUL,15 FLANDERS MEMORIAL RD WEARE 03281,603-529-7527,603-529-4554,PMOUL@WEARENH.GOV,WWW.WEARENH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,WEARE MIDDLE SCHOOL 16 EAST RD WEARE 03281,11/03/2026-STATE GENERAL ELECTION
WEBSTER,MARY L WELCH,945 BATTLE ST WEBSTER 03303,603-648-2053,603-648-6055,TOWNCLERK@WEBSTER-NH.GOV,WWW.WEBSTER-NH.GOV,8:00AM - 7:00PM,10:00AM - 7:00PM,WEBSTER TOWN HALL 945 BATTLE ST WEBSTER 03303,11/03/2026-STATE GENERAL ELECTION
WENTWORTH,DEBORAH A ZIEMBA,P.O. BOX 2 WENTWORTH 03282,603-764-5244,603-764-9362,TOWNCLERK@WENTWORTH-NH.ORG,WWW.WENTWORTH-NH.ORG,,,,
WENTWORTH'S LOCATION,DONNA M DEMERS,PO BOX 100 WENTWORTH'S LOCATION 03579,603-482-3351,603-482-3804,ERROLTOWNCLERK@GMAIL.COM,Not Applicable,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,ERROL TOWN HALL 33 MAIN ST WENTWORTH'S LOCATION 03579,11/03/2026-STATE GENERAL ELECTION
WESTMORELAND,ELLIS G CHASE-PINKNEY,PO BOX 111 WESTMORELAND 03467,603-399-7211,603-762-5489,TOWN.CLERK@WESTMORELANDNH.GOV,WWW.WESTMORELANDNH.COM,,,,
WHITEFIELD,TINA L WRIGHT,56 LITTLETON ROAD WHITEFIELD 03598,603-837-9871,603-837-3148,TOWNCLERK@WHITEFIELDNH.GOV,WWW.WHITEFIELDNH.GOV,8:00AM - 7:00PM,8:00AM - 6:00PM,CD MCINTYRE BUILDING 16 HIGHLAND ST WHITEFIELD 03598,11/03/2026-STATE GENERAL ELECTION
WILMOT,LISA LAMSON,PO BOX 94 WILMOT 03287,603-526-9639,603-526-4067,WILMOT_TC@WILMOTNH.ORG,WWW.WILMOTNH.ORG,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,WILMOT TOWN HALL 9 NORTH WILMOT RD WILMOT 03287,11/03/2026-STATE GENERAL ELECTION
WILTON,JANE FARRELL,PO BOX 83 WILTON 03086,603-654-9451,603-654-6663,TCTC@WILTONNH.GOV,WWW.WILTONNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,WILTON TOWN HALL 42 MAIN ST WILTON 03086,11/03/2026-STATE GENERAL ELECTION
WINCHESTER,JAMES M TETREAULT,PO BOX 512 WINCHESTER 03470,603-239-6233,603-239-4146,JTETREAULT@WINCHESTER.NH.GOV,WWW.WINCHESTER-NH.GOV,,,,
WINDHAM,CANDIS JULIE JOHNSON,3 NORTH LOWELL ROAD WINDHAM 03087,603-434-5075,603-965-1275,TOWNCLERK@WINDHAMNH.GOV,WWW.WINDHAMNH.GOV,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,WINDHAM HIGH SCHOOL 64 LONDON BRIDGE RD WINDHAM 03087,11/03/2026-STATE GENERAL ELECTION
WINDSOR,STEPHANIE L HOULE,14 WHITE POND ROAD WINDSOR 03244,603-478-3292,Not Applicable,TOWNCLERK@WINDSORNH.ORG,WINDSORNH.ORG,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,WINDSOR TOWN HALL 14 WHITE POND RD WINDSOR 03244,11/03/2026-STATE GENERAL ELECTION
WOLFEBORO,PATRICIA M WATERMAN,84 south main street PO BOX 1207 WOLFEBORO 03894,603-569-5328,603-569-8178,TOWNCLERK@WOLFEBORONH.US,WWW.WOLFEBORONH.US,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,WOLFEBORO TOWN HALL 84 S MAIN ST WOLFEBORO 03894,11/03/2026-STATE GENERAL ELECTION
WOODSTOCK,JUDY LYNN WELCH,PO BOX 156 WOODSTOCK 03262,603-745-8752,603-745-2393,TOWNCLERK@WOODSTOCKNH.GOV,WWW.WOODSTOCKNH.GOV,,,,
